Timestamp,Latitude,Longitude
1655982231794,-22.829727,-47.077145
1655982237457,-22.829777,-47.077133
1655982242172,-22.829807,-47.077198
1655982243169,-22.829807,-47.077248
1655982245000,-22.829811,-47.07718
1655982246000,-22.829817,-47.077175
1655982247000,-22.829815,-47.07717
1655982248000,-22.829813,-47.077164
1655982249000,-22.829815,-47.07714
1655982250000,-22.829811,-47.07711
1655982251000,-22.829803,-47.077072
1655982252000,-22.829794,-47.07703
1655982253000,-22.829786,-47.07695
1655982254000,-22.829784,-47.076923
1655982255000,-22.82978,-47.076878
1655982256000,-22.829777,-47.076824
1655982257000,-22.829771,-47.07677
1655982258000,-22.829765,-47.076717
1655982259000,-22.829758,-47.076668
1655982260000,-22.829746,-47.07662
1655982261000,-22.829737,-47.07657
1655982262000,-22.829727,-47.076527
1655982263000,-22.829718,-47.076485
1655982264000,-22.829712,-47.076454
1655982265000,-22.829712,-47.076435
1655982266654,-22.82971,-47.07642
1655982267000,-22.829706,-47.07641
1655982268000,-22.829702,-47.076393
1655982269000,-22.829695,-47.076363
1655982270000,-22.829681,-47.076324
1655982271000,-22.829666,-47.076283
1655982272000,-22.82965,-47.07623
1655982273000,-22.829634,-47.076168
1655982274000,-22.829613,-47.076103
1655982275000,-22.829586,-47.076042
1655982276000,-22.82955,-47.075985
1655982277000,-22.829504,-47.075928
1655982278000,-22.829453,-47.07588
1655982279000,-22.829401,-47.075832
1655982280000,-22.829348,-47.07579
1655982281000,-22.829298,-47.07575
1655982282000,-22.829256,-47.075706
1655982283000,-22.829226,-47.07566
1655982284000,-22.82921,-47.07562
1655982285000,-22.829216,-47.07559
1655982286000,-22.829226,-47.07557
1655982287000,-22.829239,-47.075558
1655982288000,-22.829254,-47.075546
1655982289000,-22.829271,-47.075527
1655982290613,-22.829292,-47.07551
1655982291000,-22.829319,-47.075474
1655982292000,-22.829351,-47.07543
1655982293000,-22.829388,-47.075382
1655982294000,-22.82943,-47.07532
1655982295000,-22.829472,-47.075264
1655982296000,-22.82951,-47.075203
1655982297000,-22.829546,-47.07515
1655982298000,-22.829573,-47.0751
1655982299000,-22.829594,-47.075066
1655982300000,-22.829609,-47.075043
1655982301000,-22.829617,-47.07503
1655982302000,-22.82962,-47.075027
1655982303000,-22.829622,-47.07502
1655982304000,-22.829624,-47.07501
1655982305000,-22.829626,-47.074997
1655982306000,-22.829626,-47.074986
1655982307000,-22.829622,-47.07498
1655982308000,-22.829618,-47.074978
1655982309674,-22.829617,-47.074978
1655982310000,-22.829617,-47.074978
1655982311000,-22.829617,-47.074978
1655982312000,-22.829617,-47.074978
1655982313000,-22.829617,-47.074978
1655982314000,-22.829617,-47.074978
1655982315000,-22.829617,-47.074978
1655982316000,-22.829617,-47.074978
1655982317000,-22.829617,-47.074978
1655982318000,-22.829617,-47.074978
1655982319000,-22.829617,-47.074978
1655982320000,-22.829617,-47.074978
1655982321000,-22.829617,-47.074978
1655982322000,-22.829617,-47.074978
1655982323000,-22.829617,-47.074978
1655982324000,-22.829617,-47.074978
1655982325000,-22.829617,-47.074978
1655982326000,-22.829617,-47.074978
1655982327000,-22.829617,-47.074978
1655982328000,-22.829617,-47.074978
1655982329000,-22.829617,-47.074978
