Timestamp,Value 1,Value 2
1661453821915,-22.841177,-47.05434
1661453826948,-22.841175,-47.05434
1661453832031,-22.841177,-47.054348
1661453837055,-22.841177,-47.054348
1661453841992,-22.841177,-47.054344
1661453847006,-22.841177,-47.054344
1661453852037,-22.841177,-47.054344
1661453857099,-22.841177,-47.05434
1661453862067,-22.841175,-47.054344
1661453866644,-23.19298,-47.551224
1661453867139,-22.841179,-47.054337
1661453872133,-22.841175,-47.05434
1661453877130,-22.841177,-47.05434
1661453882116,-22.841173,-47.054348
1661453887121,-22.841175,-47.054348
1661453892143,-22.841179,-47.05434
1661453893106,-22.841179,-47.054337
1661453894279,-22.841179,-47.054337
1661453897198,-22.841175,-47.05434
1661453897382,-22.841173,-47.054344
1661453902332,-23.192812,-47.551033
1661453913344,-23.19287,-47.551094
1661453918309,-23.192924,-47.55116
1661453923376,-23.192955,-47.551193
1661453928375,-23.192972,-47.551216
1661453933404,-23.192982,-47.551228
1661453938366,-23.192986,-47.55123
1661453943390,-23.192986,-47.55123
1661453948368,-23.192986,-47.55123
1661453953429,-23.192984,-47.551228
1661453958394,-23.192982,-47.551228
1661453963424,-23.19298,-47.551228
1661453968450,-23.19298,-47.551224
1661453973484,-23.19298,-47.551224
1661453978462,-23.192978,-47.551224
1661453983482,-23.192978,-47.551224
1661453988518,-23.192978,-47.551224
1661453993466,-23.192978,-47.551224
1661453998488,-23.192978,-47.551224
1661454003556,-23.192978,-47.551224
1661454011237,-23.192978,-47.551224
1661454016247,-23.192978,-47.551224
1661454021243,-23.192978,-47.551224
1661454026292,-23.19298,-47.551224
1661454031291,-23.19298,-47.551224
1661454036260,-23.19298,-47.551224
1661454041361,-23.19298,-47.551224
1661454046329,-23.19298,-47.551224
1661454051327,-23.19298,-47.551224
1661454056336,-23.19298,-47.551224
1661454061346,-23.19298,-47.551224
1661454066392,-23.19298,-47.551224
1661454071499,-23.19298,-47.551224
1661454076422,-23.19298,-47.551224
1661454081476,-23.19298,-47.551224
1661454086432,-23.19298,-47.551224
1661454091471,-23.19298,-47.551224
1661454096506,-23.19298,-47.551224
1661454101471,-23.19298,-47.551224
1661454106463,-23.19298,-47.551224
1661454111534,-23.19298,-47.551224
1661454116511,-23.19298,-47.551224
1661454121523,-23.19298,-47.551224
1661454126557,-23.19298,-47.551224
1661454130648,-23.19298,-47.551224
1661454135742,-23.19298,-47.551224
1661454140681,-23.19298,-47.551224
1661454145767,-23.19298,-47.551224
1661454150701,-23.19298,-47.551224
1661454155724,-23.19298,-47.551224
1661454160770,-23.19298,-47.551224
1661454161717,-23.19298,-47.551224
1661454166777,-23.19298,-47.551224
1661454171803,-23.19298,-47.551224
1661454176760,-23.19298,-47.551224
1661454181840,-23.19298,-47.551224
1661454186856,-23.19298,-47.551224
1661454191844,-23.19298,-47.551224
1661454193001,-23.19298,-47.551224
1661454198120,-23.19298,-47.551224
1661454203064,-23.19298,-47.551224
1661454208170,-23.19298,-47.551224
1661454213133,-23.19298,-47.551224
1661454218247,-23.19298,-47.551224
1661454223179,-23.19298,-47.551224
1661454228219,-23.19298,-47.551224
1661454233269,-23.19298,-47.551224
1661454238280,-23.19298,-47.551224
1661454243323,-23.19298,-47.551224
1661454248332,-23.19298,-47.551224
1661454253286,-23.19298,-47.551224
1661454258309,-23.19298,-47.551224
1661454263384,-23.19298,-47.551224
1661454268362,-23.19298,-47.551224
1661454273414,-23.19298,-47.551224
1661454278341,-23.19298,-47.551224
1661454283420,-23.19298,-47.551224
1661454288376,-23.19298,-47.551224
1661454293395,-23.19298,-47.551224
1661454298425,-23.19298,-47.551224
1661454303443,-23.19298,-47.551224
1661454308497,-23.19298,-47.551224
1661454313512,-23.19298,-47.551224
1661454318472,-23.19298,-47.551224
1661454323509,-23.19298,-47.551224
1661454328498,-23.19298,-47.551224
1661454332915,-22.841177,-47.054337
1661454333582,-22.841177,-47.054337
1661454333915,-22.841177,-47.054337
1661454334915,-22.841177,-47.054337
1661454335915,-22.841177,-47.054337
1661454337915,-22.841177,-47.054337
1661454338557,-22.841177,-47.054337
1661454338915,-22.841177,-47.054337
1661454339915,-22.841177,-47.054337
1661454340915,-22.841177,-47.054337
1661454342915,-22.841175,-47.054337
1661454343555,-22.841177,-47.054337
1661454343915,-22.841175,-47.054337
1661454344915,-22.841175,-47.054337
1661454345915,-22.841175,-47.054337
1661454347915,-22.841177,-47.054337
1661454348577,-22.841175,-47.054337
1661454348915,-22.841177,-47.054337
1661454349915,-22.841177,-47.054337
1661454350915,-22.841177,-47.054337
1661454352915,-22.841177,-47.054337
1661454353572,-22.841177,-47.054337
1661454353915,-22.841177,-47.054337
1661454354915,-22.841177,-47.054337
1661454355915,-22.841177,-47.054337
1661454357915,-22.841177,-47.054337
1661454358652,-22.841177,-47.054337
1661454358915,-22.841177,-47.054337
1661454359915,-22.841177,-47.054337
1661454360915,-22.841177,-47.054337
1661454362915,-22.841177,-47.054337
1661454363570,-22.841177,-47.054337
1661454363915,-22.841177,-47.054337
1661454364915,-22.841177,-47.054337
1661454365915,-22.841177,-47.054337
1661454367915,-22.841179,-47.054337
1661454368611,-22.841177,-47.054337
1661454368915,-22.841179,-47.05434
1661454369915,-22.841179,-47.05434
1661454370915,-22.841179,-47.05434
1661454372915,-22.841179,-47.054337
1661454373608,-22.841179,-47.054337
1661454373915,-22.841177,-47.054333
1661454374915,-22.841177,-47.054333
1661454375915,-22.841177,-47.054333
1661454376915,-22.841177,-47.054333
1661454378915,-22.841179,-47.054333
1661454379915,-22.841179,-47.054333
1661454379919,-22.841179,-47.054333
1661454380915,-22.841179,-47.054333
1661454381915,-22.841179,-47.054333
1661454383915,-22.841179,-47.054337
1661454384915,-22.841179,-47.05434
1661454385014,-22.841179,-47.054337
1661454385915,-22.841179,-47.05434
1661454386915,-22.841179,-47.05434
1661454388915,-22.841177,-47.054337
1661454389915,-22.841175,-47.054337
1661454389965,-22.841177,-47.054337
1661454390915,-22.841175,-47.054337
1661454391915,-22.841175,-47.054337
1661454393915,-22.841177,-47.054333
1661454394915,-22.841179,-47.054333
1661454394969,-22.841177,-47.054333
1661454395915,-22.841179,-47.054333
1661454396915,-22.841179,-47.054333
1661454398915,-22.841175,-47.054337
1661454399915,-22.841166,-47.05433
1661454399973,-22.841177,-47.054337
1661454400915,-22.84116,-47.05432
1661454401915,-22.841156,-47.054317
1661454403915,-22.841158,-47.05431
1661454404915,-22.841158,-47.054302
1661454405027,-22.841156,-47.05431
1661454410013,-22.841156,-47.054295
1661454414915,-22.84116,-47.054302
1661454415041,-22.841156,-47.054295
1661454420066,-22.841167,-47.05432
1661454420915,-22.841171,-47.05433
1661454425079,-22.841173,-47.054333
1661454430111,-22.841175,-47.054333
1661454435118,-22.84117,-47.054314
1661454440066,-22.841097,-47.05415
1661454445073,-22.840973,-47.05388
1661454450147,-22.840908,-47.05374
1661454455158,-22.840893,-47.053707
1661454460151,-22.840897,-47.05372
1661454465124,-22.841175,-47.054333
1661454470148,-22.841179,-47.05434
1661454475162,-22.841175,-47.054337
1661454475915,-22.841173,-47.05433
1661454479915,-22.841167,-47.054317
1661454480138,-22.841167,-47.054317
1661454480915,-22.841167,-47.054317
1661454485223,-22.84117,-47.054325
1661454485915,-22.84117,-47.05432
1661454490180,-22.841171,-47.054325
1661454495309,-22.841171,-47.054325
1661454500190,-22.841173,-47.05433
1661454503915,-22.841175,-47.054333
1661454504915,-22.841173,-47.05433
1661454505252,-22.841175,-47.054333
1661454505915,-22.841173,-47.05433
1661454506915,-22.841173,-47.05433
1661454510260,-22.841173,-47.05433
1661454515277,-22.841171,-47.05433
1661454520349,-22.84117,-47.05432
1661454520915,-22.84117,-47.054333
1661454521915,-22.841166,-47.054337
1661454522915,-22.841164,-47.05434
1661454523915,-22.841166,-47.054337
1661454524915,-22.841164,-47.05434
1661454530290,-22.841162,-47.05435
1661454535364,-22.841162,-47.054356
1661454540325,-22.841135,-47.05437
1661454543915,-22.841167,-47.05433
1661454545915,-22.841167,-47.054337
1661454549915,-22.84117,-47.05434
1661454550404,-22.841167,-47.05434
1661454550915,-22.84117,-47.05434
1661454551915,-22.841171,-47.05434
1661454552915,-22.841175,-47.054344
1661454553915,-22.841177,-47.054344
