Timestamp,Latitude,Longitude
1655467712912,-22.87803,-47.04434
1655467712913,-22.878073,-47.044357
1655467717913,-22.878075,-47.044365
1655467726840,-22.878036,-47.044365
1655467728000,-22.878035,-47.044353
1655467729000,-22.878057,-47.044357
1655467730000,-22.87806,-47.04437
1655467731000,-22.878016,-47.0442
1655467732000,-22.877995,-47.044186
1655467733000,-22.877987,-47.04418
1655467734000,-22.878101,-47.04433
1655467735000,-22.878124,-47.044357
1655467736000,-22.87802,-47.044197
1655467737000,-22.878012,-47.044178
1655467738000,-22.877998,-47.044163
1655467739000,-22.877981,-47.04414
1655467740000,-22.877977,-47.04414
1655467741000,-22.877985,-47.044174
1655467742000,-22.878,-47.04423
1655467743000,-22.878017,-47.044292
1655467744000,-22.877974,-47.044113
1655467745000,-22.877977,-47.044106
1655467746000,-22.87798,-47.044106
1655467747000,-22.87798,-47.04411
1655467748000,-22.877981,-47.04411
1655467749000,-22.877981,-47.044117
1655467750000,-22.877981,-47.044117
1655467751000,-22.877989,-47.04415
1655467752000,-22.877995,-47.044136
1655467753000,-22.878004,-47.04414
1655467754000,-22.878008,-47.04414
1655467755000,-22.878008,-47.04414
1655467756000,-22.878008,-47.04414
1655467757000,-22.878017,-47.044147
1655467758000,-22.878033,-47.04416
1655467759000,-22.878063,-47.04425
1655467759521,-22.87802,-47.044228
1655467760640,-22.878021,-47.04424
1655467761158,-22.878023,-47.044243
1655467763000,-22.87803,-47.04426
1655467764000,-22.878033,-47.044247
1655467765000,-22.878035,-47.04425
1655467766000,-22.878038,-47.044254
1655467767000,-22.878038,-47.044254
1655467768000,-22.87803,-47.044247
1655467770000,-22.878,-47.044224
1655467771000,-22.877995,-47.044224
1655467772000,-22.877989,-47.044224
1655467773000,-22.877981,-47.044224
1655467774000,-22.87796,-47.044228
1655467775000,-22.87796,-47.044228
1655467776000,-22.877958,-47.044228
1655467777000,-22.877956,-47.044228
1655467778000,-22.877953,-47.044228
1655467779000,-22.87795,-47.044228
1655467780000,-22.877932,-47.044224
1655467781000,-22.877928,-47.044224
1655467782000,-22.877926,-47.044224
1655467783000,-22.877878,-47.044186
1655467784000,-22.877861,-47.044174
1655467785000,-22.877844,-47.044163
1655467786000,-22.877844,-47.044163
1655467787000,-22.877844,-47.044163
1655467788000,-22.877844,-47.044163
