Timestamp,Latitude,Longitude
1655830578472,-22.820448,-47.066177
1655830586000,-22.820454,-47.06618
1655830587000,-22.820518,-47.06624
1655830588000,-22.820766,-47.066277
1655830589000,-22.820766,-47.066277
1655830590000,-22.820766,-47.066277
1655830591000,-22.820766,-47.066277
1655830592999,-22.820766,-47.066277
1655830594000,-22.820724,-47.066235
1655830594076,-22.820732,-47.066246
1655830595000,-22.820713,-47.066227
1655830596000,-22.820704,-47.066227
1655830597515,-22.820698,-47.06623
1655830598592,-22.82069,-47.06624
1655830599874,-22.82066,-47.066273
1655830600000,-22.820642,-47.06627
1655830602155,-22.820639,-47.066284
1655830602735,-22.820637,-47.066296
1655830603914,-22.820633,-47.066326
1655830604534,-22.820637,-47.066315
1655830605596,-22.82063,-47.06632
1655830606931,-22.820623,-47.066326
1655830607892,-22.82062,-47.066334
1655830608000,-22.82062,-47.066376
1655830609834,-22.820623,-47.066372
1655830610817,-22.82063,-47.066372
1655830611000,-22.820631,-47.066364
1655830612734,-22.82063,-47.066357
1655830614000,-22.82064,-47.066307
1655830615396,-22.820642,-47.0663
1655830617000,-22.820644,-47.066288
1655830618000,-22.820644,-47.066288
1655830619000,-22.820656,-47.0663
1655830620000,-22.820658,-47.066307
1655830621000,-22.82066,-47.066307
1655830622000,-22.82066,-47.06631
1655830623000,-22.820662,-47.066315
1655830624000,-22.820662,-47.06632
1655830626000,-22.820662,-47.06633
1655830627000,-22.820662,-47.06633
1655830628000,-22.820662,-47.06633
1655830629000,-22.820658,-47.066326
1655830630000,-22.820658,-47.066326
1655830631000,-22.820673,-47.06634
1655830632000,-22.820673,-47.066345
1655830633000,-22.820675,-47.066345
1655830634000,-22.820684,-47.066357
1655830635000,-22.820684,-47.066357
1655830636000,-22.820684,-47.066357
1655830637000,-22.820684,-47.066357
1655830638000,-22.820684,-47.066357
1655830639000,-22.820684,-47.066357
1655830640000,-22.820684,-47.066357
1655830641000,-22.820684,-47.066357
1655830642000,-22.820684,-47.066357
1655830643000,-22.820644,-47.066307
1655830644000,-22.820604,-47.066257
1655830645000,-22.820564,-47.066204
1655830646000,-22.82052,-47.066143
1655830647000,-22.82048,-47.066086
1655830648000,-22.82044,-47.06603
1655830649000,-22.820395,-47.06597
1655830650000,-22.820341,-47.06591
1655830651000,-22.820288,-47.06585
1655830652000,-22.820232,-47.06579
1655830653000,-22.820173,-47.065727
1655830654000,-22.820116,-47.06566
1655830655000,-22.820059,-47.065594
1655830656000,-22.82,-47.06552
1655830657000,-22.819939,-47.065453
1655830658000,-22.819878,-47.065376
1655830659000,-22.819813,-47.065296
1655830660000,-22.819746,-47.065212
1655830661000,-22.819677,-47.06513
1655830662000,-22.819605,-47.06504
1655830663000,-22.819534,-47.064957
1655830664000,-22.819464,-47.064877
1655830665000,-22.819393,-47.064804
1655830666000,-22.819323,-47.064735
1655830667000,-22.819256,-47.06467
1655830668000,-22.819195,-47.064613
1655830669000,-22.81914,-47.06456
1655830670000,-22.819094,-47.06451
1655830671000,-22.819063,-47.064453
1655830672000,-22.819054,-47.064396
1655830673000,-22.819069,-47.06434
1655830674000,-22.819098,-47.06429
1655830675000,-22.819132,-47.064262
1655830676000,-22.81916,-47.06425
1655830677000,-22.819183,-47.06426
1655830678000,-22.819199,-47.064266
1655830679000,-22.819206,-47.064274
1655830680618,-22.819208,-47.064274
1655830681000,-22.819214,-47.06427
1655830682000,-22.819239,-47.064266
1655830683000,-22.819283,-47.064247
1655830684000,-22.819345,-47.064224
1655830685000,-22.819424,-47.064205
1655830686000,-22.81951,-47.064186
1655830687000,-22.819603,-47.064163
1655830688000,-22.819706,-47.064133
1655830689000,-22.819815,-47.064095
1655830690000,-22.819927,-47.064053
1655830691000,-22.82004,-47.064
1655830692000,-22.82015,-47.063942
1655830693000,-22.820257,-47.063873
1655830694000,-22.820364,-47.063797
1655830695000,-22.82047,-47.063725
1655830696000,-22.820578,-47.06365
1655830697000,-22.820688,-47.063572
1655830698000,-22.820799,-47.0635
1655830699000,-22.820913,-47.063427
1655830700000,-22.821028,-47.063354
1655830701000,-22.821148,-47.06328
1655830702000,-22.821268,-47.0632
1655830703000,-22.821386,-47.06313
1655830704000,-22.821507,-47.06306
1655830705000,-22.821623,-47.062996
1655830706000,-22.821741,-47.06293
1655830707000,-22.821854,-47.062866
1655830708000,-22.821968,-47.0628
1655830709000,-22.822079,-47.062737
1655830710000,-22.822187,-47.062675
1655830711000,-22.822292,-47.06261
1655830712000,-22.822395,-47.06255
1655830713000,-22.822493,-47.0625
1655830714000,-22.822584,-47.062454
1655830715000,-22.822666,-47.062428
1655830716000,-22.822733,-47.06241
1655830717000,-22.822784,-47.062397
1655830718000,-22.822823,-47.06239
1655830719000,-22.822866,-47.062386
1655830720000,-22.822922,-47.062378
1655830721000,-22.822998,-47.06238
1655830722000,-22.823082,-47.062386
1655830723000,-22.823166,-47.062386
1655830724000,-22.823244,-47.062378
1655830725000,-22.823315,-47.062374
1655830726000,-22.823378,-47.06237
1655830727000,-22.82344,-47.062374
1655830728000,-22.823498,-47.062386
1655830729000,-22.82355,-47.06241
1655830730000,-22.823595,-47.06245
1655830731000,-22.823633,-47.062508
1655830732000,-22.823666,-47.06258
1655830733000,-22.823696,-47.062668
1655830734000,-22.823725,-47.06276
1655830735000,-22.823751,-47.06285
1655830736000,-22.82378,-47.06293
1655830737000,-22.82381,-47.06301
1655830738000,-22.823841,-47.06308
1655830739000,-22.823885,-47.063137
1655830740000,-22.823935,-47.063168
1655830741000,-22.82399,-47.063168
1655830742000,-22.824043,-47.063133
1655830743000,-22.824078,-47.063072
1655830744000,-22.824081,-47.063007
1655830745000,-22.824057,-47.062946
1655830746000,-22.82401,-47.062897
1655830747000,-22.823954,-47.062855
1655830748000,-22.823893,-47.062817
1655830749000,-22.823837,-47.062767
1655830750000,-22.823788,-47.0627
1655830751000,-22.823751,-47.062622
1655830752000,-22.823729,-47.06254
1655830753000,-22.82371,-47.062458
1655830754000,-22.823694,-47.062386
1655830756000,-22.82367,-47.06225
1655830758000,-22.82363,-47.062126
1655830760000,-22.823513,-47.062088
1655830761000,-22.823444,-47.062122
1655830763000,-22.823309,-47.062187
1655830765000,-22.823154,-47.062202
1655830766000,-22.823069,-47.062206
1655830768000,-22.8229,-47.062225
1655830769000,-22.822824,-47.062237
1655830770000,-22.82276,-47.06225
1655830771000,-22.822708,-47.062263
