,LatC,LongC,label
61133,-22.82099567743514,-47.06643688527335,r1
73765,-22.835395714221637,-47.05712466456194,r2
79722,-22.81514640322579,-47.071270155914014,r3
79357,-22.81512509638458,-47.057303666098,r4
92375,-22.85303362972704,-47.05250773779495,r5
